Material ID,Composition,Band Gap,Calc Types
mp-1224735,K12 Ag4 As8 C1 Se20 O1,0.6591,"{'mp-1224735': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1363535': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1224487,K2 Fe2 Co2 C12 N12 O1,0.0,"{'mp-1224487': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1357008': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1679850': <CalcType.GGA_U_NSCF_Uniform: 'GGA+U NSCF Uniform'>, 'mp-1885536': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-1227863,Ba1 Sm5 Al3 Si9 N20 O1,2.8745000000000003,"{'mp-1227863': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1358680': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1823991': <CalcType.GGA_Static: 'GGA Static'>}"
mp-684810,Ba1 Sm5 Al3 Si9 N20 O1,2.765799999999999,"{'mp-708938': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-716291': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-684810': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-690420': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1248677': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1250000': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1251023': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1255532': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1257786': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1264206': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1355718': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1823263': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1195330,K2 B22 H26 C4 N2 O2,4.8833,"{'mp-1195330': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1889351': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1984648': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1179213,Te4 H60 C20 N4 O4 F24,3.5886,"{'mp-1179213': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1334089': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1851269': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1179533,Te4 H60 C20 N4 O4 F24,2.1588,"{'mp-1179533': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1179569': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1335365': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1196440,Zn4 Si16 H140 C52 Cl4 O4,3.7616,{'mp-1196440': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}
mp-1198552,Ta8 H144 C48 N24 Cl8 O4,2.6784,"{'mp-1198552': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1984223': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1198829,B4 H28 C8 N16 O4 F16,5.0921,"{'mp-1198829': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1884024': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1981810': <CalcType.GGA_Static: 'GGA Static'>}"
